country,ecosystem,activity,activity_type,project_size_filter,project_size_ha,price_type,country_size_ha,country_code,base_size,project_name,total_cost_npv,total_cost,total_weighted_cost_npv,total_weighted_cost,capex_npv,capex,opex_npv,opex,country_abatement_potential,project_abatement_potential,cost_per_tco2e,cost_per_tco2e_npv,feasibility_analysis_npv,feasibility_analysis,conservation_planning_npv,conservation_planning,data_collection_npv,data_collection,community_representation_npv,community_representation,blue_carbon_project_planning_npv,blue_carbon_project_planning,establishing_carbon_rights_npv,establishing_carbon_rights,validation_npv,validation,implementation_labor_npv,implementation_labor,monitoring_maintenance_npv,monitoring_maintenance,community_benefit_npv,community_benefit,carbon_standard_fees_npv,carbon_standard_fees,baseline_reassessment_npv,baseline_reassessment,mrv_npv,mrv,long_term_project_operating_npv,long_term_project_operating,initial_price_assumption,leftover_after_opex,leftover_after_opex_npv,total_revenue,total_revenue_npv,credits_issued,monitoring_npv,maintenance_npv,monitoring,maintenance
Australia,Salt marsh,Restoration,Planting,Large,1000,Market price,768882542.08165,AUS,500,Australia Salt marsh Restoration Planting Large,19752483,24630971,0.02568985757762519,0.0320347642870325,14649990,17259347,5102494,7371625,18742,37037,667,667,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,13003178,15498230,3491567,4677008,30334,52691,3470,5926,75812,120000,223062,400000,1278249,2116000,30,-6317801,-4495816,1053824,606678,29630,485686,3005881,804000,3873008
Australia,Salt marsh,Restoration,Hydrology,Large,1000,Market price,768882542.08165,AUS,500,Australia Salt marsh Restoration Hydrology Large,26890157,33279488,0.03497303622891265,0.04328292837798097,20429180,24147449,6460977,9132040,18742,61728,545,545,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,18782369,22386332,4827514,6398344,50556,87819,5783,9877,75812,120000,223062,400000,1278249,2116000,30,-7375666,-5449848,1756374,1011129,49383,485686,4341828,804000,5594344
Australia,Salt marsh,Conservation,,Small,800,Opex breakeven,768882542.08165,AUS,4000,Australia Salt marsh Conservation  Small,3632658,5121117,0.004724594201560421,0.006660467262184466,1569849,1681117,2062809,3440000,0,0,0,0,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,804000,0,0,0,0,75812,120000,223062,400000,1278249,2116000,30,-3440000,-2062809,0,0,0,485686,0,804000,0
Australia,Salt marsh,Conservation,,Small,800,Market price,768882542.08165,AUS,4000,Australia Salt marsh Conservation  Small,3632658,5121117,0.004724594201560421,0.006660467262184466,1569849,1681117,2062809,3440000,0,0,0,0,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,804000,0,0,0,0,75812,120000,223062,400000,1278249,2116000,30,-3440000,-2062809,0,0,0,485686,0,804000,0
Australia,Salt marsh,Conservation,,Medium,4000,Opex breakeven,768882542.08165,AUS,4000,Australia Salt marsh Conservation  Medium,3632658,5121117,0.004724594201560421,0.006660467262184466,1569849,1681117,2062809,3440000,0,0,0,0,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,804000,0,0,0,0,75812,120000,223062,400000,1278249,2116000,30,-3440000,-2062809,0,0,0,485686,0,804000,0
Australia,Salt marsh,Conservation,,Medium,4000,Market price,768882542.08165,AUS,4000,Australia Salt marsh Conservation  Medium,3632658,5121117,0.004724594201560421,0.006660467262184466,1569849,1681117,2062809,3440000,0,0,0,0,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,804000,0,0,0,0,75812,120000,223062,400000,1278249,2116000,30,-3440000,-2062809,0,0,0,485686,0,804000,0
Australia,Salt marsh,Conservation,,Large,8000,Opex breakeven,768882542.08165,AUS,4000,Australia Salt marsh Conservation  Large,3632658,5121117,0.004724594201560421,0.006660467262184466,1569849,1681117,2062809,3440000,0,0,0,0,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,804000,0,0,0,0,75812,120000,223062,400000,1278249,2116000,30,-3440000,-2062809,0,0,0,485686,0,804000,0
Australia,Salt marsh,Conservation,,Large,8000,Market price,768882542.08165,AUS,4000,Australia Salt marsh Conservation  Large,3632658,5121117,0.004724594201560421,0.006660467262184466,1569849,1681117,2062809,3440000,0,0,0,0,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,804000,0,0,0,0,75812,120000,223062,400000,1278249,2116000,30,-3440000,-2062809,0,0,0,485686,0,804000,0
The Bahamas,Mangrove,Restoration,Planting,Small,100,Opex breakeven,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Planting Small,19263860,29953737,14.39150387479096,22.37761913240489,3882949,4285867,15380911,25667870,103498,12619,1908,1908,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,2368731,2664500,949890,1331859,13073774,22063992,1220,2019,75812,120000,223062,400000,1057153,1750000,2191.041531785676,289768,0,25957638,15380911,10095,402322,547568,666000,665859
The Bahamas,Mangrove,Restoration,Hydrology,Small,100,Opex breakeven,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Hydrology Small,22548487,34630071,16.84535903142847,25.87118059313066,5173416,5737467,17375071,28892604,103498,21032,1340,1340,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,3659198,4116100,1248201,1694613,14768810,24924625,2033,3365,75812,120000,223062,400000,1057153,1750000,1485.068197900888,430485,0,29323089,17375071,16826,402322,845879,666000,1028613
